Internal Tracking Number,Synonym,Name Quality,Substance Name,Registry Name,CAS,TSN,EPA ID,Molecular Formula,Active Status
3848,Vinegar acid,Valid,Acetic acid,Acetic acid,64-19-7,,,C2H4O2,Active
3848,Acetic acid,Valid,Acetic acid,Acetic acid,64-19-7,,,C2H4O2,Active
3848,Glacial acetic acid,Valid,Acetic acid,Acetic acid,64-19-7,,,C2H4O2,Active
24828,Acetic acid ethylene ether,Valid,Acetic acid ethenyl ester,Vinyl acetate,108-05-4,,,C4H6O2,Active
24828,Vinyl acetate,Valid,Acetic acid ethenyl ester,Vinyl acetate,108-05-4,,,C4H6O2,Active
322990,"2,4,5-T ester",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, 1-methylpropyl ester","2,4,5-T sec-butyl ester",61792-07-2,,,C12H13Cl3O3,Active
104141,"2,4,5-Trichlorophenoxyacetic esters",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, 2-butoxyethyl ester","2,4,5-T 2-butoxyethyl ester",2545-59-7,,,C14H17Cl3O4,Active
94409,"2,4,5-T ester",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, 2-ethylhexyl ester","2,4,5-T 2-ethylhexyl ester",1928-47-8,,,C16H21Cl3O3,Active
15081,"2,4,5-T ester",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, butyl ester","2,4,5-T butyl ester",93-79-8,,,C12H13Cl3O3,Active
119420,"Acetic acid, (2,4,5- trichlorophenoxy)-, compound with 2,2'2''-nitrilotris[ethanol] (1:1)",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)","2,4,5-T triethanolamine salt",3813-14-7,,,C8H5Cl3O3.C6H15NO3,Active
95406,"Acetic acid, (2,4,5-trichlorophenoxy)-, compound with N,N-diethylethanamine (1:1)",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, compd. with N,N-diethylethanamine (1:1)","2,4,5-T triethylamine salt",2008-46-0,,,C8H5Cl3O3.C6H15N,
140848,"Acetic acid, (2,4,5- trichlorophenoxy)-, compound with N,N-dimethylmethanamine (1:1)",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, compd. with N,N-dimethylmethanamine (1:1)","2,4,5-T trimethylamine salt",6369-96-6,,,C8H5Cl3O3.C3H9N,Active
140855,"Acetic acid, (2,4,5- trichlorophenoxy)-, compound with N-methylmethanamine (1:1)",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, compd. with N-methylmethanamine (1:1)","2,4,5-T dimethylamine salt",6369-97-7,,,C8H5Cl3O3.C2H7N,Active
83543,"Acetic acid, (2,4,5- trichlorophenoxy)-, compound with 1-amino-2-propanol (1:1)",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, compound with 1-amino-2-propanol (1:1)","2,4,5-T isopropanolamine salt",1319-72-8,,,C8H5Cl3O3.C3H9NO,Active
230599,"2,4,5-T ester",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, isooctyl ester","2,4,5-T isooctyl ester",25168-15-4,,,C16H21Cl3O3,Active
188441,"Acetic acid, (2,4,5- trichlorophenoxy)-, sodium salt",Valid,"Acetic acid, (2,4,5-trichlorophenoxy)-, sodium salt","2,4,5-T sodium salt",13560-99-1,,,C8H5Cl3O3.Na,Active
15289,"2,4-D ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, 1-methylethyl ester","2,4-D isopropyl ester",94-11-1,,,C11H12Cl2O3,Active
15289,"2,4-Dichlorophenoxyacetic acid ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, 1-methylethyl ester","2,4-D isopropyl ester",94-11-1,,,C11H12Cl2O3,Active
15677,"2,4-D ester",Ambiguous,"Acetic acid, (2,4-dichlorophenoxy)-, 1-methylpropyl ester","2,4-D sec-butyl ester",94-79-1,,,C12H14Cl2O3,Active
94441,"2,4-D ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, 2-butoxyethyl ester","2,4-D 2-butoxyethyl ester",1929-73-3,,,C14H18Cl2O4,Active
83626,"2,4-D ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, 2-butoxymethylethyl ester","2,4-D 2-butoxymethylethyl ester",1320-18-9,,,C15H20Cl2O4,Active
109496,"2,4-D ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, 4-chloro-2-butenyl ester","2,4-D chlorocrotyl ester",2971-38-2,,,C12H11Cl3O3,Active
15685,"2,4-D ester",Ambiguous,"Acetic acid, (2,4-dichlorophenoxy)-, butyl ester","2,4-D butyl ester",94-80-4,,,C12H14Cl2O3,Active
230631,"2,4-D ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, isooctyl ester","2,4-D isooctyl ester",25168-26-7,,,C16H22Cl2O3,Active
94375,"2,4-D ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, methyl ester","2,4-D methyl ester",1928-38-7,,,C9H8Cl2O3,Active
94425,"2,4-D ester",Valid,"Acetic acid, (2,4-dichlorophenoxy)-, propyl ester","2,4-D propyl ester",1928-61-6,,,C11H12Cl2O3,Active
24976,Acetyl oxide,Valid,"Acetic acid, 1,1'-anhydride",Acetic anhydride,108-24-7,,,C4H6O3,Active
24976,Acetic anhydride,Valid,"Acetic acid, 1,1'-anhydride",Acetic anhydride,108-24-7,,,C4H6O3,Active
24976,Acetic oxide,Valid,"Acetic acid, 1,1'-anhydride",Acetic anhydride,108-24-7,,,C4H6O3,Active
51979,tert-Butyl acetate,Valid,"Acetic acid, 1,1-dimethylethyl ester",tert-Butyl acetate,540-88-5,,,C6H12O2,Active
22814,sec-Butyl acetate,Valid,"Acetic acid, 1-methylpropyl ester",sec-Butyl acetate,105-46-4,,,C6H12O2,Active
15065,"2,4,5-T acid",Valid,"Acetic acid, 2-(2,4,5-trichlorophenoxy)-","2,4,5-T",93-76-5,,,C8H5Cl3O3,Active
15065,"2,4,5-Trichlorophenoxyacetic acid",Valid,"Acetic acid, 2-(2,4,5-trichlorophenoxy)-","2,4,5-T",93-76-5,,,C8H5Cl3O3,Active
15651,"2,4-D acid",Valid,"Acetic acid, 2-(2,4-dichlorophenoxy)-","2,4-D",94-75-7,,,C8H6Cl2O3,Active
15651,"2,4-Dichlorophenoxyacetic acid",Valid,"Acetic acid, 2-(2,4-dichlorophenoxy)-","2,4-D",94-75-7,,,C8H6Cl2O3,Active
26476,iso-Butyl acetate,Valid,"Acetic acid, 2-methylpropyl ester",Isobutyl acetate,110-19-0,,,C6H12O2,Active
65185,"Acetic acid ammonium, salt",Valid,"Acetic acid, ammonium salt (1:1)",Ammonium acetate,631-61-8,,,C2H4O2.H3N,Active
65185,Ammonium acetate,Valid,"Acetic acid, ammonium salt (1:1)",Ammonium acetate,631-61-8,,,C2H4O2.H3N,Active
33233,Acetic acid butyl ester,Valid,"Acetic acid, butyl ester",n-Butyl acetate,123-86-4,,,C6H12O2,Active
