Internal Tracking Number,Synonym,Name Quality,Substance Name,Registry Name,CAS,TSN,EPA ID,Molecular Formula,Active Status
15651,"2,4-D",Valid,"Acetic acid, 2-(2,4-dichlorophenoxy)-","2,4-D",94-75-7,,,C8H6Cl2O3,
202549,Alachlor,Valid,"Acetamide, 2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)-",Alachlor,15972-60-8,,,C14H20ClNO2,
182451,Alpha particle,Valid,Alpha particle,Alpha particle,12587-46-1,,,Unspecified,
149963,Antimony,Valid,Antimony,Antimony,7440-36-0,,,Sb,
149989,Arsenic,Valid,Arsenic,Arsenic,7440-38-2,,,As,
85282,Asbestos,Valid,Asbestos,Asbestos,1332-21-4,,,Unspecified,
149997,Barium,Valid,Barium,Barium,7440-39-3,,,Ba,
4754,Benzene,Valid,Benzene,Benzene,71-43-2,,,C6H6,
4903,Methoxychlor,Valid,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-methoxy-",Methoxychlor,72-43-5,,,C16H15Cl3O2,
30346,Hexachlorobenzene,Valid,"Benzene, 1,2,3,4,5,6-hexachloro-",Hexachlorobenzene,118-74-1,,,C6Cl6,
31435,"1,2,4-Trichloro- benzene",Valid,"Benzene, 1,2,4-trichloro-","1,2,4-Trichlorobenzene",120-82-1,,,C6H3Cl3,
31435,"1,2,4-Trichlorobenzene",Valid,"Benzene, 1,2,4-trichloro-","1,2,4-Trichlorobenzene",120-82-1,,,C6H3Cl3,
16162,"1,2-Dichlorobenzene",Valid,"Benzene, 1,2-dichloro-",o-Dichlorobenzene,95-50-1,,,C6H4Cl2,
16162,o-Dichlorobenzene,Valid,"Benzene, 1,2-dichloro-",o-Dichlorobenzene,95-50-1,,,C6H4Cl2,
23622,para-Dichlorobenzene,Valid,"Benzene, 1,4-dichloro-",p-Dichlorobenzene,106-46-7,,,C6H4Cl2,
23622,"1,4-Dichlorobenzene",Valid,"Benzene, 1,4-dichloro-",p-Dichlorobenzene,106-46-7,,,C6H4Cl2,
25478,Monochlorobenzene,Valid,"Benzene, chloro-",Chlorobenzene,108-90-7,,,C6H5Cl,
25478,Chlorobenzene,Valid,"Benzene, chloro-",Chlorobenzene,108-90-7,,,C6H5Cl,
84970,Xylenes,Valid,"Benzene, dimethyl-",Xylene,1330-20-7,,,C8H10,
19414,Styrene,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,
19406,Ethylbenzene,Valid,"Benzene, ethyl-",Ethylbenzene,100-41-4,,,C8H10,
25452,Toluene,Valid,"Benzene, methyl-",Toluene,108-88-3,,,C7H8,
29934,Di(2-ethylhexyl) phthalate,Valid,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester",Di(2-ethylhexyl) phthalate,117-81-7,,,C24H38O4,
