Contaminant,"MCL or TT1
(mg/L)2",Potential health effects from long-term3 exposure above the MCL,Common sources of contaminant in drinking water,Public Health Goal (mg/L)2
Acrylamide,TT4,Nervous system or blood problems; increased risk of cancer,Added to water during sewage/ wastewater treatment,zero
Alachlor,0.002,"Eye, liver, kidney, or spleen problems; anemia; increased risk of cancer",Runoff from herbicide used on row crops,zero
Alpha/photon emitters,15 picocuries per Liter (pCi/L),Increased risk of cancer,Erosion of natural deposits of certain minerals that are radioactive and may emit a form of radiation known as alpha radiation,zero
Antimony,0.006,Increase in blood cholesterol; decrease in blood sugar,Discharge from petroleum refineries; fire retardants; ceramics; electronics; solder,0.006
Arsenic,0.01,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",Erosion of natural deposits; runoff from orchards; runoff from glass & electronics production wastes,0
Asbestos (fibers >10 micrometers),7 million fibers per Liter (MFL),Increased risk of developing benign intestinal polyps,Decay of asbestos cement in water mains; erosion of natural deposits,7 MFL
Atrazine,0.003,Cardiovascular system or reproductive problems,Runoff from herbicide used on row crops,0.003
Barium,2,Increase in blood pressure,"Discharge of drilling wastes; discharge from metal refineries; erosion
of natural deposits",2
Benzene,0.005,Anemia; decrease in blood platelets; increased risk of cancer,Discharge from factories; leaching from gas storage tanks and landfills,zero
Benzo(a)pyrene (PAHs),0.0002,Reproductive difficulties; increased risk of cancer,Leaching from linings of water storage tanks and distribution lines,zero
Beryllium,0.004,Intestinal lesions,"Discharge from metal refineries and coal-burning factories; discharge from electrical, aerospace, and defense industries",0.004
Beta photon emitters,4 millirems per year,Increased risk of cancer,Decay of natural and man-made deposits of certain minerals that are radioactive and may emit forms of radiation known as photons and beta radiation,zero
Bromate,0.01,Increased risk of cancer,Byproduct of drinking water disinfection,zero
Cadmium,0.005,Kidney damage,"Corrosion of galvanized pipes; erosion of natural deposits; discharge
from metal refineries; runoff from waste batteries and paints",0.005
Carbofuran,0.04,"Problems with blood, nervous system, or reproductive system",Leaching of soil fumigant used on rice and alfalfa,0.04
Carbon tetrachloride,0.005,Liver problems; increased risk of cancer,Discharge from chemical plants and other industrial activities,zero
